"","author","title","words","kind","total","appearance"
"268","Eliot, George","Daniel Deronda","Banks","person",2.33333333333333,3
"269","Eliot, George","Daniel Deronda","Beatrice","person",3,1
"270","Eliot, George","Daniel Deronda","Beethoven","person",9,1
"271","Eliot, George","Daniel Deronda","Belgium","location",3,1
"272","Eliot, George","Daniel Deronda","Ben","person",2.98230088495575,113
"273","Eliot, George","Daniel Deronda","Ben Azai","person",4,1
"274","Eliot, George","Daniel Deronda","Berenice","person",-0.6,15
"275","Eliot, George","Daniel Deronda","Bernardo","person",1,1
"276","Eliot, George","Daniel Deronda","Bill","person",1.3,10
"277","Eliot, George","Daniel Deronda","Brompton","location",2.75,4
"278","Eliot, George","Daniel Deronda","Bugle","person",0.25,4
"279","Eliot, George","Daniel Deronda","Bunch","person",-0.5,2
"280","Eliot, George","Daniel Deronda","Burke","person",16,1
"281","Eliot, George","Daniel Deronda","Burns","person",-1,3
"282","Eliot, George","Daniel Deronda","Butler","person",10,2
"283","Eliot, George","Daniel Deronda","Byron","person",9.33333333333333,3
"284","Eliot, George","Daniel Deronda","Cairo","location",25,1
"285","Eliot, George","Daniel Deronda","Calvin","person",-2,1
"286","Eliot, George","Daniel Deronda","CamaralzamanMa","person",8,1
"287","Eliot, George","Daniel Deronda","Cambridge","location",2.53846153846154,13
"288","Eliot, George","Daniel Deronda","Canterbury","location",1,1
"289","Eliot, George","Daniel Deronda","Cardell","location",-0.375,8
"290","Eliot, George","Daniel Deronda","Cardell Chase","location",-0.375,8
"291","Eliot, George","Daniel Deronda","castle","person",0.4,10
"292","Eliot, George","Daniel Deronda","Catherine","person",2.15151515151515,33
"293","Eliot, George","Daniel Deronda","Catherine Arrowpoint","person",-3,1
"294","Eliot, George","Daniel Deronda","Ceres","location",-7,2
"295","Eliot, George","Daniel Deronda","Charles","person",11,3
"296","Eliot, George","Daniel Deronda","Charles Grandison","person",30,1
"297","Eliot, George","Daniel Deronda","Charles Lamb","person",4,1
"298","Eliot, George","Daniel Deronda","Chelsea","person",2.58333333333333,12
"299","Eliot, George","Daniel Deronda","Chelsea Stairs","person",-2,1
"300","Eliot, George","Daniel Deronda","China","location",1,3
"301","Eliot, George","Daniel Deronda","Cologne","location",2,1
"302","Eliot, George","Daniel Deronda","Columbus","location",1,3
"303","Eliot, George","Daniel Deronda","Daniel Charisi","person",0.333333333333333,6
"304","Eliot, George","Daniel Deronda","Daniel Deronda","person",1.75253924284395,1083
"305","Eliot, George","Daniel Deronda","Dante","person",1.28571428571429,7
"306","Eliot, George","Daniel Deronda","David","person",0,1
"307","Eliot, George","Daniel Deronda","Devil","location",-1.85714285714286,14
"308","Eliot, George","Daniel Deronda","Devils","location",-3.75,4
