"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"14127","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9323,"Ben","person",0,0,0,0,0,0,2,0,0,2,2
"14128","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9323,"Mr Ness","person",0,0,0,0,0,0,2,0,0,2,2
"14129","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9325,NA,NA,0,1,0,0,0,0,2,0,0,1,2
"14130","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9326,NA,NA,0,0,0,0,0,1,0,0,0,0,-1
"14131","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9327,"Mr Ness","person",1,0,0,2,0,1,0,1,0,0,-1
"14132","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9328,"John","person",3,0,3,3,0,3,0,3,0,0,-3
"14133","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9328,"Johnson","person",3,0,3,3,0,3,0,3,0,0,-3
"14134","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9328,"Mr Johnson","person",3,0,3,3,0,3,0,3,0,0,-3
"14135","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9329,"Mr Wilkins","person",0,0,0,2,0,2,0,2,0,2,-2
"14136","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9329,"Wilkins","person",0,0,0,2,0,2,0,2,0,2,-2
"14137","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Monro","person",0,12,0,6,12,6,12,6,12,6,6
"14138","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Miss Monro","person",0,12,0,6,12,6,12,6,12,6,6
"14139","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Hope","location",0,12,0,6,12,6,12,6,12,6,6
"14140","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Miss","person",0,12,0,6,12,6,12,6,12,6,6
"14141","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Miss","location",0,12,0,6,12,6,12,6,12,6,6
"14142","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9330,"Ann","person",0,12,0,6,12,6,12,6,12,6,6
"14143","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9331,"God","location",0,2,0,2,2,1,2,1,0,3,1
"14144","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9332,NA,NA,1,1,0,0,1,0,1,0,1,1,1
"14145","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9334,NA,NA,0,0,0,0,1,0,1,0,0,0,1
"14146","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9337,"Monro","person",0,4,0,0,0,0,4,0,0,4,4
"14147","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9337,"Miss Monro","person",0,4,0,0,0,0,4,0,0,4,4
"14148","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9337,"Miss","person",0,4,0,0,0,0,4,0,0,4,4
"14149","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9337,"Miss","location",0,4,0,0,0,0,4,0,0,4,4
"14150","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9338,"Mr Ness","person",0,0,0,0,0,1,0,1,1,0,-1
"14151","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9340,"Hall","person",0,2,0,0,2,0,3,0,0,1,3
"14152","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9343,"King","person",0,1,0,0,0,0,0,0,0,0,0
"14153","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9344,"Ford Bank","location",0,2,2,0,2,4,4,4,2,6,0
"14154","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9344,"King","person",0,2,2,0,2,4,4,4,2,6,0
"14155","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9349,NA,NA,0,0,0,0,1,0,1,0,0,0,1
"14156","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9350,"Ellinor","person",0,0,0,0,5,5,5,0,0,10,0
"14157","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9350,"Dixon","person",0,0,0,0,5,5,5,0,0,10,0
"14158","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9350,"Ellinor","location",0,0,0,0,5,5,5,0,0,10,0
"14159","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9350,"Dixon","location",0,0,0,0,5,5,5,0,0,10,0
"14160","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9350,"Ladies","person",0,0,0,0,5,5,5,0,0,10,0
"14161","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Chester","location",0,14,0,0,14,7,14,0,0,14,7
"14162","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Monro","person",0,14,0,0,14,7,14,0,0,14,7
"14163","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Mr Ness","person",0,14,0,0,14,7,14,0,0,14,7
"14164","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Miss Monro","person",0,14,0,0,14,7,14,0,0,14,7
"14165","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"East Chester","location",0,14,0,0,14,7,14,0,0,14,7
"14166","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Miss","person",0,14,0,0,14,7,14,0,0,14,7
"14167","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9351,"Miss","location",0,14,0,0,14,7,14,0,0,14,7
"14168","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9352,"Death","location",3,9,3,3,0,3,0,3,3,3,-3
"14169","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9352,"Mr Ness","person",3,9,3,3,0,3,0,3,3,3,-3
"14170","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9352,"King","person",3,9,3,3,0,3,0,3,3,3,-3
"14171","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9353,"Peace","person",0,12,0,3,6,6,9,3,3,6,3
"14172","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9353,"Ellinor","person",0,12,0,3,6,6,9,3,3,6,3
"14173","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9353,"Ellinor","location",0,12,0,3,6,6,9,3,3,6,3
"14174","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9354,"Ellinor","person",0,6,0,0,3,6,6,6,3,9,0
"14175","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9354,"Ellinor","location",0,6,0,0,3,6,6,6,3,9,0
